koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,1.0,460.5,33.6,12.88291395,5.676,3.15,1.131,14.764,865.0
CONFIRMED,1.0,472.6,25.3,27.4345973,5.038,2.56,1.131,14.764,672.0
CONFIRMED,0.996,159.1,16.7,4.22453631,3.128,1.6,1.131,14.764,1254.0
CONFIRMED,0.996,362.1,16.7,44.5520266,6.0,2.29,1.131,14.764,572.0
CONFIRMED,0.994,558.3,25.6,52.069002,3.0089,2.92,1.246,14.279,524.0
CONFIRMED,0.996,665.4,69.1,2.418406841,2.0744,2.25,0.887,14.991,1226.0
CANDIDATE,,,,8.51170088,2.9,,,14.279,
FALSE POSITIVE,0.0,105.0,17.1,5.0825188,3.328,0.88,0.834,14.445,968.0
CANDIDATE,1.0,614.7,22.9,6.93910337,2.977,1.41,0.42,15.855,445.0
CONFIRMED,0.997,268.3,21.7,9.11500269,4.558,1.78,1.028,14.63,906.0
FALSE POSITIVE,0.0,1426.7,92.8,8.48031942,7.297,4.54,0.991,15.262,918.0
CONFIRMED,1.0,571.1,97.9,13.7223682,5.1231,2.23,0.943,13.749,746.0
FALSE POSITIVE,0.0,1534.4,138.4,3.582076914,4.4228,5.33,0.993,15.193,1265.0
CONFIRMED,1.0,1785.9,59.7,15.43400996,4.2572,4.3,0.951,15.703,721.0
FALSE POSITIVE,0.0,590.9,46.0,1.780984316,2.173,2.33,0.87,15.516,1397.0
CONFIRMED,0.993,71.7,16.6,7.63846084,3.957,1.12,1.299,13.47,1089.0
CONFIRMED,0.956,357.7,37.7,70.6981724,6.632,1.63,0.866,13.046,417.0
CONFIRMED,1.0,73.3,25.4,3.74443645,2.9191,1.1,1.293,12.71,1328.0
CANDIDATE,0.924,61.3,27.6,10.19154678,6.165,1.39,1.684,11.74,1144.0
FALSE POSITIVE,0.0,112640.0,1241.4,10.581581895,6.66929,53.19,1.567,13.936,1098.0
FALSE POSITIVE,0.488,71867.0,202.0,2.819453322,4.4127,29.8,1.074,14.569,1357.0
CANDIDATE,0.998,602.5,23.6,12.89006728,3.555,1.93,0.812,15.674,620.0
CANDIDATE,0.0,28737.0,958.7,23.210509958,3.09802,21.19,0.809,14.228,595.0
CONFIRMED,0.903,266.9,17.0,2.35574505,1.796,1.34,0.812,15.674,1093.0
CANDIDATE,0.996,256.8,12.5,4.74666128,2.093,1.3,0.812,15.674,865.0
CONFIRMED,1.0,843.2,25.5,19.65639342,3.226,2.83,0.74,15.372,549.0
FALSE POSITIVE,0.0,1688.4,54.6,62.81584402,2.6901,57.62,1.492,12.849,582.0
CONFIRMED,0.365,922.4,45.0,70.468171,6.653,3.46,1.131,14.811,511.0
FALSE POSITIVE,,,,56.86716792,4.23,,,15.886,
CONFIRMED,1.0,455.5,30.6,3.93246069,2.1763,1.65,0.779,15.32,894.0
CONFIRMED,1.0,101.5,27.0,0.921030497,2.6077,1.62,1.615,14.542,2362.0
CONFIRMED,1.0,828.3,126.1,5.960400011,2.8617,2.85,0.886,12.557,890.0
CONFIRMED,0.936,4674.7,142.8,85.3514875,6.7504,6.31,0.938,15.061,390.0
CANDIDATE,1.0,5077.8,97.2,23.02028478,3.544,7.58,0.956,15.573,604.0
CONFIRMED,0.985,4491.2,300.7,69.72646639,3.7177,11.65,1.731,13.005,613.0
CONFIRMED,1.0,728.5,35.3,1.609321941,1.6067,1.57,0.603,15.937,958.0
CONFIRMED,0.975,1169.4,31.9,9.51220046,2.9497,1.99,0.603,15.937,530.0
CONFIRMED,0.987,434.3,14.6,4.72941177,2.234,1.22,0.603,15.937,669.0
CONFIRMED,0.913,4315.8,862.3,4.887803076,2.36255,4.82,0.763,9.174,800.0
CONFIRMED,0.761,16388.0,3535.6,4.437962934,4.69813,18.05,1.415,13.438,1338.0
CONFIRMED,0.999,1023.3,155.3,20.74028645,10.3939,4.24,1.299,13.955,798.0
FALSE POSITIVE,0.0,49720.0,205.9,1.207852845,3.5802,38.59,0.797,15.559,1539.0
FALSE POSITIVE,0.759,48434.0,538.0,2.379282197,3.1729,25.74,1.162,15.189,1571.0
FALSE POSITIVE,0.0,831.5,59.7,26.0692512,7.487,23.61,0.91,14.106,591.0
CONFIRMED,0.964,515.2,18.3,9.69501146,2.75,2.08,0.914,15.809,833.0
CONFIRMED,1.0,550.5,18.4,15.3825394,3.815,2.14,0.914,15.809,714.0
FALSE POSITIVE,0.0,331.2,39.3,1.818939148,1.644,1.82,0.962,15.134,1549.0
CONFIRMED,1.0,732.0,40.3,40.1097817,5.2096,3.11,1.169,14.904,556.0
CANDIDATE,0.998,187.5,30.5,0.708621057,1.5041,1.2,0.887,14.991,1846.0
CONFIRMED,0.959,84.2,18.0,2.46106962,2.184,0.84,0.886,12.557,1195.0
FALSE POSITIVE,1.0,815.9,59.5,3.403743926,1.5017,10.77,0.853,14.98,1101.0
CONFIRMED,1.0,286.5,31.1,8.03753796,2.9118,1.54,0.804,14.471,744.0
FALSE POSITIVE,0.983,82.5,20.5,2.43902575,1.1598,2.61,2.784,11.041,2307.0
CONFIRMED,0.999,2559.6,44.4,56.3587987,6.927,5.04,0.821,15.792,419.0
CONFIRMED,0.693,340.3,23.2,242.467406,12.808,1.73,0.943,13.749,286.0
CANDIDATE,0.922,12192.0,82.8,169.4976085,7.77,9.06,0.787,15.917,272.0
CONFIRMED,0.961,2949.5,339.4,76.13622222,7.9393,4.78,0.892,12.45,399.0
FALSE POSITIVE,0.0,638.2,52.9,4.9883872,9.142,2.59,0.823,15.752,990.0
FALSE POSITIVE,0.0,25480.0,261.3,2.586878667,6.1614,19.84,1.172,12.897,1666.0
FALSE POSITIVE,0.186,25886.0,408.5,3.964333304,4.7136,37.09,2.318,14.985,1680.0
FALSE POSITIVE,0.0,24627.0,423.9,1.525924389,3.15998,49.86,1.06,15.063,1722.0
FALSE POSITIVE,0.926,17219.0,990.3,5.910371418,3.88962,12.62,0.958,15.169,1053.0
CANDIDATE,0.733,15805.0,128.1,0.917568975,2.0654,11.92,0.893,14.456,1748.0
CONFIRMED,1.0,406.5,26.4,5.92365747,2.6302,0.99,0.496,15.157,531.0
CONFIRMED,0.738,1210.2,22.6,105.3582299,3.81,1.87,0.496,15.157,204.0
CONFIRMED,0.998,16451.0,1586.2,3.24325988,3.03318,12.91,1.013,14.952,1243.0
CANDIDATE,1.0,361.3,48.5,7.79668781,4.6699,2.44,1.276,12.681,1116.0
CONFIRMED,0.986,1091.8,70.0,56.4758069,5.961,3.22,0.839,14.279,417.0
CONFIRMED,1.0,658.8,37.9,92.8747294,7.474,2.64,0.839,14.279,353.0
CONFIRMED,0.999,841.0,47.7,1.538180949,1.2635,1.0,0.274,15.722,602.0
CONFIRMED,1.0,670.0,42.1,10.4188915,3.0069,3.17,1.064,14.86,855.0
CONFIRMED,1.0,437.8,21.1,20.4998763,6.501,2.8,1.076,15.442,731.0
CONFIRMED,1.0,278.7,56.7,1.921437488,1.9046,1.77,0.851,14.131,1276.0
CONFIRMED,0.998,982.3,28.7,96.109323,9.877,4.01,1.005,15.321,409.0
CONFIRMED,1.0,1597.1,46.8,20.38174802,3.7922,3.16,0.808,15.887,528.0
CANDIDATE,0.977,231.4,9.9,7.00447892,2.669,1.19,0.808,15.887,754.0
CONFIRMED,1.0,894.6,55.1,5.101375725,2.595,2.84,0.954,15.455,1050.0
FALSE POSITIVE,0.0,879.4,27.7,17.7940049,4.091,312.48,1.044,15.378,762.0
FALSE POSITIVE,0.133,1105.2,8.3,3.47021401,2.289,2.4,0.744,15.305,933.0
CANDIDATE,1.0,18121.0,196.6,30.69395532,2.9512,13.72,1.018,15.673,614.0
FALSE POSITIVE,0.0,6897.8,164.4,2.139325409,2.8056,11.61,0.666,14.708,1007.0
CANDIDATE,0.0,11871.0,332.0,29.481061268,3.6636,16.61,0.901,15.135,571.0
CONFIRMED,0.0,1743.4,78.6,572.376632,24.42,5.8,1.299,13.955,264.0
FALSE POSITIVE,0.0,2658.5,228.9,2.233799622,3.04,28.63,0.846,15.195,1287.0
FALSE POSITIVE,0.0,11427.0,163.7,31.13862664,5.2482,12.88,1.0,15.821,582.0
CONFIRMED,1.0,186.5,14.9,13.93068791,2.312,1.4,0.839,14.279,665.0
CONFIRMED,0.9,363.4,24.5,20.4074846,8.839,2.9,0.972,14.802,660.0
FALSE POSITIVE,0.0,388.4,22.8,12.36564669,3.644,24.89,0.952,14.59,804.0
CONFIRMED,0.999,273.1,36.5,10.35078415,6.253,1.97,1.08,14.659,842.0
CONFIRMED,0.838,417.8,28.7,62.9224936,11.64,2.75,1.08,14.659,462.0
CANDIDATE,1.0,564.5,21.7,32.7737631,3.416,5.0,1.534,14.758,686.0
CONFIRMED,0.0,566.5,24.8,38.6520796,5.607,2.07,0.887,14.991,487.0
CONFIRMED,0.997,800.6,26.7,14.20442616,3.898,1.9,0.678,15.469,602.0
CONFIRMED,0.991,765.1,22.7,55.673582,3.778,2.19,0.808,15.061,384.0
CONFIRMED,1.0,545.8,32.2,6.82778157,2.3726,1.34,0.574,15.224,577.0
FALSE POSITIVE,0.0,462.5,60.9,0.687895191,2.4233,1.35,0.651,15.657,1391.0
CONFIRMED,1.0,8088.6,148.1,127.2824442,7.1545,12.04,1.183,15.505,392.0
CONFIRMED,1.0,460.2,86.4,10.06083238,4.5718,2.58,1.14,13.844,899.0
CONFIRMED,1.0,974.9,37.9,30.1837021,5.879,3.65,1.183,15.505,634.0
FALSE POSITIVE,0.0,268.6,39.2,2.92928244,6.794,38.42,2.251,12.674,2112.0
CANDIDATE,0.939,16612.0,185.5,77.63424586,4.1002,9.4,0.755,15.915,325.0
CONFIRMED,0.331,5805.8,265.4,52.75878505,6.6517,8.76,1.137,15.182,540.0
FALSE POSITIVE,0.0,1071.5,119.6,1.332564478,6.0325,27.04,0.878,15.866,1618.0
FALSE POSITIVE,0.0,1216.8,28.8,41.0772969,5.525,3.25,0.938,14.907,523.0
FALSE POSITIVE,0.0,10188.0,99.5,135.9121619,5.628,40.18,0.959,15.535,370.0
CONFIRMED,1.0,334.0,22.8,42.4729078,7.253,2.03,1.111,14.601,539.0
CONFIRMED,0.998,224.8,45.4,15.17026921,4.3311,2.47,1.369,13.147,905.0
CONFIRMED,0.603,244.8,41.6,39.4576228,9.557,2.8,1.369,13.147,658.0
CONFIRMED,1.0,776.8,22.5,17.8159689,3.6765,3.12,0.933,15.2,699.0
CONFIRMED,1.0,861.3,34.7,36.5157639,3.6577,2.55,0.781,14.254,425.0
CONFIRMED,1.0,169.5,26.2,14.07969236,1.375,2.08,1.547,12.261,931.0
CONFIRMED,0.998,370.0,32.8,16.54081386,2.5996,1.57,0.769,13.755,570.0
CONFIRMED,1.0,1375.1,35.0,3.609313059,1.7752,3.26,0.868,15.54,1092.0
CONFIRMED,1.0,504.9,8.6,1.93155546,1.614,2.25,0.858,13.007,1290.0
CONFIRMED,0.978,755.6,27.6,8.41100305,2.4553,1.8,0.539,15.773,472.0
CONFIRMED,1.0,690.6,22.4,13.52252364,3.987,2.11,0.816,13.895,652.0
CONFIRMED,0.987,832.1,57.2,134.2520474,9.0636,3.43,1.2,13.35,393.0
CONFIRMED,0.999,10091.0,1429.9,3.268695042,3.45188,16.91,1.691,14.879,1597.0
CONFIRMED,1.0,1287.0,45.6,99.7468804,6.804,3.94,0.974,14.422,391.0
FALSE POSITIVE,0.0,2940.7,47.6,22.84156293,2.5997,30.0,0.826,15.911,557.0
CONFIRMED,0.998,9763.3,707.3,11.720123999,3.0039,7.94,0.77,14.518,660.0
CONFIRMED,1.0,108.5,48.0,4.33643506,4.1445,1.75,1.603,11.704,1453.0
CONFIRMED,1.0,762.6,39.0,15.95541913,3.9851,2.18,0.805,15.261,573.0
CONFIRMED,0.99,298.4,18.3,8.25980352,2.928,1.35,0.805,15.261,714.0
CONFIRMED,1.0,1372.6,35.0,62.5613879,5.907,3.54,0.84,15.5,417.0
CONFIRMED,1.0,234.3,38.2,8.96847034,4.4073,2.17,1.374,14.128,1024.0
CONFIRMED,1.0,120.5,40.9,1.907810683,1.8707,0.91,0.824,12.852,1268.0
CANDIDATE,1.0,162.8,36.4,32.85862571,3.1483,2.31,1.414,10.77,691.0
FALSE POSITIVE,0.0,69851.0,2145.1,48.118812545,5.27958,45.18,0.872,14.474,490.0
CANDIDATE,1.0,49.1,24.6,2.229326354,1.9946,0.6,0.865,10.687,1273.0
CONFIRMED,1.0,228.4,33.3,2.514628496,1.6239,1.27,0.84,14.325,1217.0
CONFIRMED,1.0,3120.4,373.0,8.025118521,5.3694,7.79,1.369,14.153,1093.0
CONFIRMED,1.0,334.3,14.8,5.79529495,2.272,1.05,0.539,15.773,534.0
CONFIRMED,0.979,1836.9,20.2,73.7578875,2.69,4.28,0.93,15.213,375.0
CANDIDATE,1.0,608.1,15.2,8.56267266,1.53,2.26,0.93,15.213,768.0
CONFIRMED,1.0,365.6,28.5,8.30537702,3.751,1.69,0.873,14.779,809.0
CONFIRMED,1.0,812.0,51.8,13.22714056,3.2861,2.22,0.8,14.443,638.0
CONFIRMED,1.0,1025.4,56.8,51.8098276,6.343,2.6,0.826,14.122,410.0
CONFIRMED,0.95,198.5,25.9,4.38536428,2.5126,1.15,0.826,14.122,935.0
CONFIRMED,0.85,183.2,11.6,34.205785079,5.1691,1.1,0.826,14.122,471.0
CONFIRMED,0.98,356.1,17.1,13.97945055,1.2325,1.97,0.826,14.122,635.0
CONFIRMED,1.0,232.9,40.8,3.554856338,2.1004,1.29,0.831,14.053,1157.0
CONFIRMED,1.0,343.9,90.6,5.28790754,8.5274,7.1,3.818,13.427,1661.0
CONFIRMED,1.0,1320.3,21.8,8.45746636,2.2906,1.87,0.524,15.862,540.0
CONFIRMED,1.0,1562.8,20.3,17.28116957,2.829,2.04,0.524,15.862,425.0
CONFIRMED,0.243,1262.0,11.8,32.1340014,2.691,1.84,0.524,15.862,346.0
CONFIRMED,0.938,574.5,38.5,59.7711433,4.843,3.17,1.122,13.952,522.0
CONFIRMED,1.0,279.2,35.1,4.417692516,2.323,1.57,0.664,14.31,790.0
CONFIRMED,1.0,568.1,39.9,10.08744556,2.9884,3.15,1.095,15.079,942.0
CONFIRMED,1.0,829.4,34.0,16.34355902,5.474,3.26,1.056,15.017,730.0
CONFIRMED,1.0,693.4,26.9,21.96401646,2.7509,2.57,0.958,15.378,643.0
CONFIRMED,0.899,925.7,23.3,125.602323,7.105,2.89,0.958,15.378,360.0
CONFIRMED,1.0,430.8,30.0,12.51353325,4.301,1.88,0.873,14.779,706.0
CONFIRMED,0.889,197.8,11.4,17.9134215,4.364,1.39,0.873,14.779,626.0
CONFIRMED,0.998,174.1,9.9,25.2149143,5.76,1.19,0.873,14.779,559.0
CONFIRMED,0.951,259.0,26.1,5.42586901,2.5342,1.48,0.934,14.305,973.0
CONFIRMED,1.0,532.9,27.1,19.58561177,1.755,3.09,0.996,14.18,666.0
CONFIRMED,1.0,879.3,42.5,4.544436472,1.8141,3.0,0.937,15.009,1017.0
CONFIRMED,0.974,653.8,17.4,12.76220558,2.0688,3.18,0.937,15.009,721.0
CONFIRMED,0.999,694.8,16.2,38.7149617,3.441,2.62,0.937,15.009,498.0
FALSE POSITIVE,0.0,210.8,25.9,8.78458274,6.459,2.6,1.691,14.879,1149.0
CONFIRMED,1.0,763.3,33.9,3.69298623,1.7744,1.74,0.572,14.265,745.0
CONFIRMED,1.0,4676.5,653.4,5.334082429,6.2226,13.08,1.905,14.463,1495.0
CONFIRMED,1.0,190.9,41.2,6.4980147,2.4384,1.87,1.104,13.25,1026.0
CONFIRMED,0.975,392.5,35.3,19.76169247,3.9097,2.81,1.175,14.563,791.0
CONFIRMED,1.0,430.1,36.4,5.18498961,2.1397,1.15,0.56,14.744,652.0
CONFIRMED,0.956,476.0,36.6,85.6542476,6.866,3.56,1.647,13.34,522.0
CONFIRMED,1.0,935.5,26.8,19.32945602,3.794,2.26,0.763,15.719,529.0
CANDIDATE,0.991,414.2,39.8,17.79108667,2.662,2.88,1.34,13.8,830.0
CONFIRMED,1.0,645.3,30.3,3.290114076,1.5151,1.49,0.594,15.753,802.0
FALSE POSITIVE,0.0,3657.8,102.2,2.086075752,2.2647,10.3,1.417,12.963,1845.0
CONFIRMED,1.0,5976.5,448.2,3.311864148,1.4049,9.06,0.937,14.256,1116.0
CANDIDATE,0.994,671.3,30.0,63.0732241,5.397,17.8,6.354,13.089,1077.0
CONFIRMED,1.0,1871.8,423.7,2.422084188,2.5613,3.55,0.83,14.236,1213.0
CONFIRMED,0.983,658.7,35.6,78.5461106,8.689,3.55,1.397,14.087,501.0
CONFIRMED,1.0,1125.3,40.8,16.92342126,4.1864,3.4,0.99,15.818,702.0
CONFIRMED,1.0,648.0,32.1,5.47665801,2.5482,2.01,0.706,15.549,741.0
CONFIRMED,1.0,308.3,49.8,4.580346161,2.097,1.38,0.789,13.693,889.0
CONFIRMED,1.0,263.2,59.7,2.248288213,2.0361,1.25,0.789,13.693,1127.0
CONFIRMED,1.0,249.3,29.7,6.76690759,1.7062,1.31,0.789,13.693,781.0
CONFIRMED,1.0,635.0,38.9,34.1732156,4.7679,2.37,0.834,13.733,465.0
CONFIRMED,1.0,1147.0,9.9,16.7364755,2.151,2.73,0.653,14.786,464.0
FALSE POSITIVE,0.0,2363.0,28.2,137.8645881,1.922,15.9,0.449,14.645,170.0
CONFIRMED,0.984,254.3,24.9,12.43929428,3.176,1.3,0.773,13.395,627.0
CONFIRMED,1.0,296.1,32.5,7.62635494,2.4168,1.21,0.721,14.017,703.0
CANDIDATE,1.0,1196.4,42.6,8.710442022,0.9425,3.61,0.809,14.816,760.0
CONFIRMED,1.0,1221.0,38.3,11.35010642,2.2792,1.75,0.514,15.278,403.0
CONFIRMED,1.0,1269.6,30.1,109.4450597,3.792,3.04,0.868,14.937,340.0
CONFIRMED,0.998,659.8,34.6,7.56052209,3.8573,2.4,0.94,15.986,914.0
CONFIRMED,1.0,788.4,40.1,12.12401737,3.3091,2.37,0.87,15.09,675.0
CONFIRMED,1.0,384.6,22.3,9.38740646,1.6165,1.69,0.646,14.028,575.0
CONFIRMED,1.0,150.4,11.8,7.41556471,1.973,0.79,0.646,14.028,622.0
CONFIRMED,0.4,458.0,14.1,24.2101973,4.046,1.5,0.706,15.549,451.0
CONFIRMED,1.0,293.4,61.5,23.8990075,15.955,3.26,1.93,13.153,823.0
CONFIRMED,1.0,165.0,29.0,6.22161107,3.4117,1.59,1.097,13.977,1101.0
CONFIRMED,1.0,750.5,29.0,6.17998508,2.1094,2.12,0.791,15.801,814.0
CONFIRMED,1.0,147.2,48.7,1.569066598,2.7803,1.68,1.395,13.93,1849.0
CONFIRMED,1.0,544.6,40.0,9.59068586,3.452,3.93,1.673,13.237,1087.0
CONFIRMED,1.0,836.7,48.6,7.03932913,3.514,4.67,1.24,14.915,1060.0
CONFIRMED,0.978,626.7,44.9,49.6075771,2.9575,2.12,0.774,13.218,402.0
CONFIRMED,1.0,822.1,23.6,16.84183355,2.6194,3.08,1.009,14.306,699.0
CONFIRMED,0.998,8510.5,856.3,7.340714946,2.9987,14.31,1.498,14.412,1155.0
CONFIRMED,1.0,494.1,33.2,12.55111099,3.1293,1.34,0.598,14.731,480.0
CONFIRMED,1.0,8538.0,80.8,3.003879547,3.2848,10.96,1.172,14.996,1438.0
CONFIRMED,1.0,387.2,21.0,24.0884178,3.952,1.16,0.598,14.731,386.0
CONFIRMED,0.999,187.9,41.7,12.75800092,4.1828,1.49,1.095,12.776,822.0
CONFIRMED,1.0,112.0,32.7,5.47033376,3.1441,1.15,1.095,12.776,1090.0
CONFIRMED,1.0,695.1,38.4,6.51112385,1.6919,3.09,1.001,15.214,1008.0
CONFIRMED,1.0,833.7,28.6,23.85163321,2.4453,3.37,1.001,15.214,654.0
CONFIRMED,0.998,143.5,36.8,2.714078374,1.3115,1.38,0.992,12.987,1301.0
CONFIRMED,1.0,717.7,41.9,122.8799543,7.835,2.7,0.861,13.8,326.0
CONFIRMED,1.0,679.6,17.4,4.88753111,2.034,2.45,0.957,15.768,1003.0
CONFIRMED,0.994,119.7,26.8,6.14728341,2.7645,0.79,0.746,12.906,770.0
CONFIRMED,1.0,706.7,33.5,2.800111267,1.0237,2.13,0.704,15.229,956.0
CONFIRMED,1.0,599.4,28.8,34.3511339,4.4408,2.75,0.967,14.998,576.0
CONFIRMED,1.0,3868.7,480.7,3.413036353,2.61366,6.62,1.087,14.622,1200.0
CONFIRMED,1.0,285.8,30.0,3.00725068,4.4302,1.56,0.781,15.62,1122.0
CONFIRMED,1.0,660.7,45.0,4.194496867,1.7807,1.57,0.522,14.404,577.0
CANDIDATE,0.974,176.6,9.2,6.35585682,1.55,0.86,0.522,14.404,503.0
CONFIRMED,1.0,403.2,56.3,1.970340203,1.7901,3.97,1.667,14.438,1599.0
CONFIRMED,1.0,748.3,43.2,5.05821338,1.132,10.69,1.667,14.438,1168.0
CONFIRMED,1.0,965.8,53.3,26.85323647,4.4557,2.65,0.869,14.812,544.0
CONFIRMED,0.987,167.6,21.3,25.0985083,2.7727,1.59,1.095,12.776,656.0
CONFIRMED,0.995,699.3,38.2,34.2685741,4.8251,2.44,0.872,14.685,477.0
CONFIRMED,1.0,733.8,31.8,5.75321539,1.7948,3.14,0.929,15.196,920.0
CONFIRMED,1.0,203.9,38.2,5.50860699,3.0788,1.49,0.883,13.317,934.0
CONFIRMED,1.0,684.0,26.2,18.93055119,3.372,4.41,1.643,14.417,766.0
FALSE POSITIVE,0.0,9207.9,273.0,42.94386258,3.7591,41.62,0.94,14.708,520.0
CONFIRMED,0.991,388.7,31.5,22.06402,4.1,2.67,1.09,13.698,712.0
CONFIRMED,1.0,623.6,45.5,5.756245244,1.071,2.24,0.734,13.708,773.0
CONFIRMED,0.993,1532.1,33.7,148.4601819,5.499,3.61,0.821,14.839,285.0
CONFIRMED,1.0,270.4,57.8,0.934885365,1.4083,3.21,1.795,14.145,2080.0
CONFIRMED,0.862,619.5,38.0,25.7626846,6.908,2.66,1.069,15.087,633.0
CONFIRMED,0.995,182.3,14.1,11.0317836,4.753,1.45,1.069,15.087,840.0
CONFIRMED,1.0,114.7,21.6,4.12511935,2.877,0.88,0.83,14.236,1016.0
CANDIDATE,1.0,987.0,7.7,4.22464216,1.403,4.31,1.14,15.341,1279.0
CONFIRMED,0.978,196.9,32.7,13.12162167,3.6138,1.99,1.277,12.992,913.0
CONFIRMED,0.999,505.5,47.6,49.6220669,7.222,3.33,1.184,13.429,546.0
CONFIRMED,1.0,952.9,46.1,8.08801663,1.8334,2.94,0.874,14.624,792.0
CONFIRMED,1.0,402.8,49.8,11.55103848,3.3601,2.17,1.058,14.138,845.0
CONFIRMED,1.0,553.9,37.1,4.469754641,1.813,2.26,0.934,14.769,1103.0
CONFIRMED,1.0,313.6,30.4,15.77382794,4.957,2.72,1.531,13.205,955.0
CONFIRMED,1.0,260.8,41.2,6.56226483,4.0144,3.07,1.812,13.996,1290.0
CONFIRMED,1.0,323.9,42.6,20.67876365,4.6395,2.42,1.272,13.598,749.0
CONFIRMED,0.993,5671.1,508.8,50.79034648,10.8474,10.6,1.406,14.274,612.0
CONFIRMED,1.0,271.2,52.0,9.59993246,4.3206,2.08,1.272,13.598,967.0
CONFIRMED,0.933,63.3,20.2,2.0248205,2.55,1.01,1.272,13.598,1625.0
CONFIRMED,0.861,584.8,34.7,201.118319,10.328,2.28,0.954,13.328,300.0
CONFIRMED,1.0,458.7,37.6,24.7577652,6.998,2.44,0.966,14.49,644.0
CONFIRMED,1.0,336.6,38.2,12.7983174,6.401,2.88,1.451,14.513,908.0
CONFIRMED,1.0,911.6,37.6,10.13200555,3.1683,1.67,0.561,15.629,574.0
CONFIRMED,1.0,695.2,35.5,38.505224,5.941,2.45,0.881,14.777,532.0
CONFIRMED,0.983,133.2,34.3,4.6126736,3.0643,1.6,1.277,12.992,1294.0
CONFIRMED,0.999,540.6,37.4,8.67890312,3.5317,2.56,1.116,14.523,905.0
CONFIRMED,1.0,500.1,33.8,39.3135699,5.0137,2.07,0.925,14.476,540.0
CONFIRMED,1.0,401.2,28.5,5.94565516,2.1604,1.12,0.564,15.026,568.0
CONFIRMED,1.0,364.7,34.1,1.52373073,1.4796,1.26,0.51,15.313,818.0
CONFIRMED,0.998,7563.0,1457.8,4.225384543,2.82038,9.0,1.054,14.014,1111.0
CONFIRMED,0.997,432.2,51.7,60.0853848,7.007,2.4,1.047,13.43,485.0
CONFIRMED,0.99,541.6,50.0,43.0343364,6.571,2.5,0.911,13.534,484.0
CANDIDATE,0.999,854.9,55.0,46.2991052,5.2481,4.33,1.507,14.082,592.0
CONFIRMED,0.862,625.5,57.6,88.6440015,7.82,2.51,0.934,13.748,391.0
CONFIRMED,0.999,436.7,34.0,35.01190875,2.868,2.97,1.153,13.624,603.0
CONFIRMED,1.0,644.9,40.9,16.57099265,2.9052,2.03,0.779,14.64,614.0
CONFIRMED,1.0,377.5,49.8,16.00496657,6.5047,3.71,1.904,12.818,1040.0
CONFIRMED,1.0,392.8,43.1,1.954525966,2.0944,2.38,1.136,15.356,1540.0
CANDIDATE,,,,15.09521323,3.41,,,15.356,
CONFIRMED,1.0,453.3,34.3,7.23400381,2.165,1.78,0.85,14.139,831.0
CONFIRMED,1.0,520.3,33.6,6.77408984,2.6215,2.5,1.092,15.368,1058.0
CONFIRMED,1.0,5368.1,226.8,20.172024672,3.1488,6.24,0.864,14.711,564.0
CONFIRMED,1.0,991.1,31.2,26.41044199,3.0715,2.45,0.734,15.593,512.0
CONFIRMED,1.0,197.2,17.3,8.27745764,2.713,2.46,1.781,13.115,1088.0
CONFIRMED,1.0,251.1,15.7,14.37504582,3.208,2.05,1.053,13.286,786.0
CANDIDATE,1.0,403.7,35.6,6.31219171,4.9377,2.17,1.075,14.959,1096.0
CONFIRMED,0.997,1267.1,26.4,147.97391,6.854,3.33,0.95,14.904,329.0
CONFIRMED,0.975,156.1,35.7,13.24503482,4.4078,1.77,1.39,12.584,887.0
CONFIRMED,0.937,589.5,44.0,77.2550726,10.214,3.7,1.356,13.754,548.0
CONFIRMED,0.9,127.8,24.3,3.85690686,2.0808,0.93,0.813,13.746,972.0
CONFIRMED,1.0,1586.3,31.5,116.3311739,7.025,3.26,0.835,14.767,323.0
CANDIDATE,,429.9,8.0,86.049055,29.28,2.06,0.997,14.767,410.0
CONFIRMED,1.0,581.1,61.0,6.31943553,3.3422,2.71,1.022,14.028,986.0
CONFIRMED,1.0,538.1,45.5,12.20951755,4.1808,2.61,1.022,14.028,791.0
CONFIRMED,1.0,216.7,29.3,3.07644709,2.6326,1.61,1.022,14.028,1253.0
FALSE POSITIVE,0.999,28.7,21.5,2.11913005,4.141,1.35,2.377,7.837,2090.0
CONFIRMED,0.999,123.3,30.0,68.958447,3.128,1.11,0.888,9.439,402.0
CONFIRMED,1.0,2431.4,282.3,18.79591276,7.5235,7.39,1.406,14.274,852.0
FALSE POSITIVE,,,,47.76397728,4.08,,,9.668,
CONFIRMED,0.986,658.7,53.1,63.0380366,7.3702,2.59,1.019,13.605,465.0
CONFIRMED,1.0,141.8,45.1,9.69315023,5.6725,1.89,1.472,12.727,1017.0
FALSE POSITIVE,0.0,351.1,37.3,8.48031229,7.105,2.58,1.078,14.613,952.0
CONFIRMED,0.999,346.2,35.6,56.1886436,6.5272,2.56,1.176,13.351,503.0
CONFIRMED,1.0,529.7,39.9,6.92101452,4.3591,1.48,0.585,14.832,619.0
CONFIRMED,1.0,262.5,34.0,3.27344784,1.7292,0.81,0.496,14.22,625.0
CONFIRMED,0.999,185.1,17.6,15.3789014,4.662,2.94,2.153,13.127,1039.0
CONFIRMED,0.999,4033.5,149.9,134.4785189,5.9288,10.52,1.336,13.929,412.0
