koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,1.0,2804.5,71.0,11.59822233,2.5237,2.65,0.473,15.937,396.0
CONFIRMED,1.0,2793.3,221.1,6.575315881,4.3084,5.31,0.989,15.312,1015.0
CONFIRMED,1.0,3001.0,312.1,7.275040844,7.5377,4.86,0.867,15.08,833.0
CONFIRMED,1.0,1219.8,37.1,19.27153892,2.7594,1.93,0.56,15.385,393.0
CONFIRMED,1.0,1053.3,30.3,10.06524317,1.369,1.91,0.56,15.385,488.0
CONFIRMED,1.0,916.6,35.8,12.3935651,3.8896,2.66,0.75,15.505,677.0
CONFIRMED,0.998,615.2,83.7,43.84439721,6.802,2.87,1.012,12.882,531.0
FALSE POSITIVE,0.0,725.3,39.0,3.341913228,3.813,21.55,0.811,15.629,1032.0
FALSE POSITIVE,0.773,1620.6,103.6,1.626630225,2.1145,32.43,0.973,15.279,1547.0
CONFIRMED,1.0,837.5,64.5,2.711504086,3.0099,3.12,1.076,15.541,1420.0
CONFIRMED,1.0,950.4,51.5,7.21203748,4.0491,3.32,1.076,15.541,1025.0
FALSE POSITIVE,,459.9,11.2,14.1798187,2.505,1.88,0.878,15.727,711.0
CONFIRMED,1.0,1123.5,47.6,8.47237911,2.7245,2.59,0.788,15.339,751.0
CONFIRMED,0.989,931.3,20.1,60.4189369,5.039,2.36,0.788,15.339,390.0
CONFIRMED,1.0,6105.6,277.2,12.611904345,5.1497,7.4,0.919,15.14,753.0
FALSE POSITIVE,0.0,1976.3,112.6,1.433769925,1.8868,46.58,1.339,15.122,1920.0
FALSE POSITIVE,0.0,871.7,38.2,10.31872301,3.836,28.59,1.06,15.065,876.0
CONFIRMED,1.0,382.1,38.9,2.539183147,2.4282,2.06,1.062,15.026,1332.0
CONFIRMED,1.0,1304.0,50.8,6.770300385,2.0844,2.77,0.679,15.591,812.0
FALSE POSITIVE,0.0,10967.0,299.7,0.444291966,2.0792,27.51,0.636,15.748,1836.0
CANDIDATE,1.0,5741.1,183.6,10.181584004,3.5089,7.73,0.836,15.657,812.0
CONFIRMED,1.0,1494.7,35.2,20.06036336,3.3203,1.96,0.493,15.954,361.0
CONFIRMED,1.0,1394.7,26.0,46.1842039,4.758,1.83,0.493,15.954,273.0
CONFIRMED,0.952,104.0,17.1,23.9800854,5.351,1.31,1.012,12.882,649.0
CONFIRMED,0.994,520.8,15.9,7.82502168,2.186,1.2,0.493,15.954,494.0
CONFIRMED,1.0,8544.8,370.8,3.895936525,2.3111,7.34,0.774,15.725,1005.0
CONFIRMED,0.999,986.8,32.1,22.36646466,5.228,2.32,0.734,15.583,536.0
